String - please do not modify this file,Everything 1.3.4.686,Everything 1.4.1.870
COPYRIGHT,"Copyright © 2013 David Carpenter","Copyright © 2017 David Carpenter"
CONNECTING_TO_ETP_SERVER,"Connecting to ETP server...","Connecting to ETP Server..."
CONNECT_TO_ETP_SERVER_CAPTION,"Connect to ETP server","Connect To ETP Server"
FAILED_TO_CHECK_FOR_UPDATES_FORMAT,"Failed to check for updates\n%s","Unable to check for updates: %s"
MENU_ABOUT_EVERYTHING,"&About Everything","&About Everything..."
LAST_ACCESS_TIME,"Last Access Time","Date Accessed"
ETP_SERVER,"ETP/FTP","ETP/FTP Server"
HTTP_SERVER,"HTTP","HTTP Server"
LANGUAGE_HELP,"Set the language Everything will use to display text.","Set the language Everything will use to display text\nRequires restart."
LANGUAGE_SYSTEM_DEFAULT,"System Default","User Default"
START_EVERYTHING_ON_SYSTEM_STARTUP_HELP,"Automatically run ""Everything"" when I log on to Windows.","Automatically run ""Everything"" when you log on to Windows\nPlease make sure run as administrator is disabled if Everything does not run on system startup."
SHOW_SHELL_CONTEXT_MENUS,"Show shell context &menus","Show Search Everything folder context &menu item"
START_MENU_SHORTCUTS,"S&tart Menu shortcuts","S&tart menu shortcuts"
START_MENU_SHORTCUTS_HELP,"Show Start Menu shortcuts.","Show Start menu shortcuts."
MATCH_PATH_WHEN_SEARCH_CONTAINS_PATH_SEPERATOR,"Match &path when search contains path separator","Match &path when a search term contains a path separator"
MATCH_PATH_WHEN_SEARCH_CONTAINS_PATH_SEPERATOR_HELP,"Search full paths when the search contains a backslash (\).","Search full paths when a search term contains a backslash (\)."
BELOW_NORMAL,"Below Normal","Below normal"
ABOVE_NORMAL,"Above Normal","Above normal"
AUTO_SCROLL_VIEW,"Auto scroll &view","Automatically scroll &view"
AUTO_SCROLL_VIEW_HELP,"Scroll the window when the mouse is dragged outside the visible area.","Periodically scroll the window when the mouse is dragged outside the visible area."
SHOW_SELECTED_ITEM_IN_STATUSBAR_HELP,"Show the full name of the selected folder or file in the status bar.","Show details for the selected file or folder in the status bar."
ICON_LOAD_PRIORITY,"Load &Icon Priority:","Load &icon priority:"
ICON_LOAD_PRIORITY_HELP,"The Priority of the thread to load icons.","The priority of the thread to load icons."
READ_FILE_INFO_PRIORITY,"Load Extended In&formation Priority:","Load extended in&formation priority:"
READ_FILE_INFO_PRIORITY_HELP,"The Priority of the thread to load file size, date modified, file attributes and file type.","The priority of the thread to load extended information."
DATABASE_LOCATION_HELP,"Set the location of the database file. This is where the Everything database is saved to and loaded from\n(Empty = Executable folder)","Specify the location of the database file\nLeave empty to store the database file in the default location for local application data\n"
LOCAL_NTFS_VOLUMES,"Local NTFS &volumes:","&Local NTFS volumes:"
ENABLE_USN_JOURNAL_LOGGING,"Enable &USN Journal Logging","Enable &USN Journal"
ENABLE_USN_JOURNAL_LOGGING_HELP,"Toggle NTFS USN Journal Logging.","Enable or disable the Update Sequence Number (USN) Journal on this volume."
